"","horautc","horarioutc","periodia","dia","mes","ano"
"1","20","2000","t","08","02","2021"
"2","20","2015","t","08","02","2021"
"3","20","2030","t","08","02","2021"
"4","20","2045","t","08","02","2021"
"5","21","2100","t","08","02","2021"
"6","21","2115","t","08","02","2021"
"7","21","2130","t","08","02","2021"
"8","21","2145","t","08","02","2021"
"9","22","2200","t","08","02","2021"
"10","22","2215","t","08","02","2021"
"11","22","2230","t","08","02","2021"
"12","22","2245","t","08","02","2021"
"13","02","0200","n","09","02","2021"
"14","02","0215","n","09","02","2021"
"15","02","0230","n","09","02","2021"
"16","02","0245","n","09","02","2021"
"17","03","0300","n","09","02","2021"
"18","03","0315","n","09","02","2021"
"19","03","0330","n","09","02","2021"
"20","03","0345","n","09","02","2021"
"21","04","0400","n","09","02","2021"
"22","04","0415","n","09","02","2021"
"23","04","0430","n","09","02","2021"
"24","04","0445","n","09","02","2021"
"25","08","0800","m","09","02","2021"
"26","08","0815","m","09","02","2021"
"27","08","0830","m","09","02","2021"
"28","08","0845","m","09","02","2021"
"29","09","0900","m","09","02","2021"
"30","09","0915","m","09","02","2021"
"31","09","0930","m","09","02","2021"
"32","09","0945","m","09","02","2021"
"33","10","1000","m","09","02","2021"
"34","10","1015","m","09","02","2021"
"35","10","1030","m","09","02","2021"
"36","10","1045","m","09","02","2021"
"37","20","2000","t","09","02","2021"
"38","20","2015","t","09","02","2021"
"39","20","2030","t","09","02","2021"
"40","20","2045","t","09","02","2021"
"41","21","2100","t","09","02","2021"
"42","21","2115","t","09","02","2021"
"43","21","2130","t","09","02","2021"
"44","21","2145","t","09","02","2021"
"45","22","2200","t","09","02","2021"
"46","22","2215","t","09","02","2021"
"47","22","2230","t","09","02","2021"
"48","22","2245","t","09","02","2021"
"49","02","0200","n","10","02","2021"
"50","02","0215","n","10","02","2021"
"51","02","0230","n","10","02","2021"
"52","02","0245","n","10","02","2021"
"53","03","0300","n","10","02","2021"
"54","03","0315","n","10","02","2021"
"55","03","0330","n","10","02","2021"
"56","03","0345","n","10","02","2021"
"57","04","0400","n","10","02","2021"
"58","04","0415","n","10","02","2021"
"59","04","0430","n","10","02","2021"
"60","04","0445","n","10","02","2021"
"61","08","0800","m","10","02","2021"
"62","08","0815","m","10","02","2021"
"63","08","0830","m","10","02","2021"
"64","08","0845","m","10","02","2021"
"65","09","0900","m","10","02","2021"
"66","09","0915","m","10","02","2021"
"67","09","0930","m","10","02","2021"
"68","09","0945","m","10","02","2021"
"69","10","1000","m","10","02","2021"
"70","10","1015","m","10","02","2021"
"71","10","1030","m","10","02","2021"
"72","10","1045","m","10","02","2021"
"73","20","2000","t","10","02","2021"
"74","20","2015","t","10","02","2021"
"75","20","2030","t","10","02","2021"
"76","20","2045","t","10","02","2021"
"77","21","2100","t","10","02","2021"
"78","21","2115","t","10","02","2021"
"79","21","2130","t","10","02","2021"
"80","21","2145","t","10","02","2021"
"81","22","2200","t","10","02","2021"
"82","22","2215","t","10","02","2021"
"83","22","2230","t","10","02","2021"
"84","22","2245","t","10","02","2021"
"85","02","0200","n","11","02","2021"
"86","02","0215","n","11","02","2021"
"87","02","0230","n","11","02","2021"
"88","02","0245","n","11","02","2021"
"89","03","0300","n","11","02","2021"
"90","03","0315","n","11","02","2021"
"91","03","0330","n","11","02","2021"
"92","03","0345","n","11","02","2021"
"93","04","0400","n","11","02","2021"
"94","04","0415","n","11","02","2021"
"95","04","0430","n","11","02","2021"
"96","04","0445","n","11","02","2021"
"97","08","0800","m","11","02","2021"
"98","08","0815","m","11","02","2021"
"99","08","0830","m","11","02","2021"
"100","08","0845","m","11","02","2021"
"101","09","0900","m","11","02","2021"
"102","09","0915","m","11","02","2021"
"103","09","0930","m","11","02","2021"
"104","09","0945","m","11","02","2021"
"105","10","1000","m","11","02","2021"
"106","10","1015","m","11","02","2021"
"107","10","1030","m","11","02","2021"
"108","10","1045","m","11","02","2021"
"109","20","2000","t","11","02","2021"
"110","20","2015","t","11","02","2021"
"111","20","2030","t","11","02","2021"
"112","20","2045","t","11","02","2021"
"113","21","2100","t","11","02","2021"
"114","21","2115","t","11","02","2021"
"115","21","2130","t","11","02","2021"
"116","21","2145","t","11","02","2021"
"117","22","2200","t","11","02","2021"
"118","22","2215","t","11","02","2021"
"119","22","2230","t","11","02","2021"
"120","22","2245","t","11","02","2021"
