"","horautc","horarioutc","periodia","dia","mes","ano"
"1","12","1200","m","28","07","2020"
"2","12","1215","m","28","07","2020"
"3","12","1230","m","28","07","2020"
"4","12","1245","m","28","07","2020"
"5","13","1300","m","28","07","2020"
"6","13","1315","m","28","07","2020"
"7","13","1330","m","28","07","2020"
"8","13","1345","m","28","07","2020"
"9","18","1800","t","28","07","2020"
"10","18","1815","t","28","07","2020"
"11","18","1830","t","28","07","2020"
"12","18","1845","t","28","07","2020"
"13","19","1900","t","28","07","2020"
"14","19","1915","t","28","07","2020"
"15","19","1930","t","28","07","2020"
"16","19","1945","t","28","07","2020"
"17","06","0600","n","29","07","2020"
"18","06","0615","n","29","07","2020"
"19","06","0630","n","29","07","2020"
"20","06","0645","n","29","07","2020"
"21","07","0700","n","29","07","2020"
"22","07","0715","n","29","07","2020"
"23","07","0730","n","29","07","2020"
"24","07","0745","n","29","07","2020"
